"HCPCS","DESCRIPTION"
"36406","Venipuncture, under 3 years of age, performed by physician or qualified healthcare professional, other vein"
"36410","Venipuncture, 3 years of age or older, performed by physician or qualified healthcare professional, diagnostic or therapeutic"
"36415","Collection of venous blood by venipuncture"
"36416","Collection of capillary blood specimen"
"36420","Venipuncture, cutdown, under 1 year of age"
"36425","Venipuncture, cutdown, 1 year of age or older"
"36430","Transfusion of blood or blood component"
"36440","Blood push transfusion, 2 years of age or under"
"36450","Blood exchange transfusion, newborn"
"36455","Blood exchange transfusion, other than newborn"
"36456","Partial exchange transfusion, newborn"
"36460","Intrauterine transfusion, fetus"
"36465","Injection of non-compounded sclerosant, single vein"
"36466","Injection of non-compounded sclerosant, multiple veins"
"36468","Injection of sclerosant, spider veins"
"36470","Injection of sclerosant, 1 incompetent vein"
"36471","Injection of sclerosant, multiple incompetent veins"
"36473","Endovenous mechanochemical ablation, first vein"
"36474","Endovenous mechanochemical ablation, vein add-on"
"36475","Endovenous radiofrequency ablation, first vein"
"36476","Endovenous radiofrequency ablation, vein add-on"
"36478","Endovenous laser ablation, first vein"
"36479","Endovenous laser ablation, vein add-on"
"36481","Insertion of catheter, vein"
"36482","Endovenous therapy, chemical adhesion, first vein"
"36483","Endovenous therapy, chemical adhesion, subsequent veins"
"36500","Insertion of catheter, vein"
"3650F","Electroencephalogram ordered, reviewed, or requested"
"36510","Insertion of catheter, vein"
"36511","Apheresis, white blood cells"
"36512","Apheresis, red blood cells"
"36513","Apheresis, platelets"
"36514","Apheresis, plasma"
"36516","Apheresis, selective immunoadsorption"
"36522","Photopheresis"
"36555","Insertion of non-tunneled central venous catheter"
"36556","Insertion of non-tunneled central venous catheter"
"36557","Insertion of tunneled central venous catheter"
"36558","Insertion of tunneled central venous catheter"
"36560","Insertion of tunneled central venous catheter"
"36561","Insertion of tunneled central venous catheter"
"36563","Insertion of tunneled central venous catheter"
"36565","Insertion of tunneled central venous catheter"
"36566","Insertion of tunneled central venous catheter"
"36568","Insertion of peripherally inserted central catheter, under 5 years of age, without imaging guidance"
"36569","Insertion of peripherally inserted central catheter, 5 years of age or older, without imaging guidance"
"36570","Insertion of peripherally inserted central venous access device"
"36571","Insertion of peripherally inserted central venous access device"
"36572","Insertion of peripherally inserted central catheter, with radiologic supervision and interpretation, under 5 years of age"
"36573","Insertion of peripherally inserted central catheter, with radiologic supervision and interpretation, 5 years of age or older"
"36575","Repair of tunneled central venous catheter"
"36576","Repair of tunneled central venous catheter"
"36578","Replacement of tunneled central venous catheter"
"36580","Replacement of central venous access device catheter"
"36581","Replacement of tunneled central venous catheter"
"36582","Replacement of tunneled central venous catheter"
"36583","Replacement of tunneled central venous catheter"
"36584","Complete replacement of peripherally inserted central catheter, with radiologic supervision and interpretation"
"36585","Replacement of peripherally inserted central venous access device"
"36589","Removal of tunneled central venous catheter"
"36590","Removal of tunneled central venous catheter"
"36591","Drawing blood off venous device"
"36592","Collection of blood from peripherally inserted central catheter"
"36593","Declotting of vascular device"
"36595","Mechanical removal of tunneled central venous catheter"
"36596","Mechanical removal of tunneled central venous catheter"
"36597","Repositioning of venous catheter"
"36598","Injection with fluoroscopic evaluation of central venous device"
"36600","Withdrawal of arterial blood"
"36620","Insertion of catheter, artery"
"36625","Insertion of catheter, artery"
"36640","Insertion of catheter, artery"
"36660","Insertion of catheter, artery"
"36680","Insertion of needle, bone cavity"
"36800","Insertion of cannula"
"36810","Insertion of cannula"
"36815","Insertion of cannula"
"36818","Arteriovenous anastomosis, upper arm, cephalic vein"
"36819","Arteriovenous anastomosis, upper arm, basilic vein"
"36820","Arteriovenous anastomosis, forearm vein"
"36821","Arteriovenous anastomosis, direct, any site"
"36823","Insertion of cannula(s)"
"36825","Arteriovenous autograft"
"36830","Arteriovenous nonautograft"
"36831","Open thrombectomy, arteriovenous fistula"
"36832","Open revision of arteriovenous fistula"
"36833","Revision of arteriovenous fistula"
"36835","Insertion of Thomas shunt"
"36836","Percutaneous arteriovenous fistula creation, upper extremity, single access"
"36837","Percutaneous arteriovenous fistula creation, upper extremity, separate access"
"36838","Distal revascularization and ligation, hemodialysis"
"36860","External cannula declotting"
"36861","Cannula declotting"
"36901","Introduction of catheter, dialysis circuit"
"36902","Introduction of catheter, dialysis circuit"
"36903","Introduction of catheter, dialysis circuit"
"36904","Thrombectomy or infusion, dialysis circuit"
"36905","Thrombectomy or infusion, dialysis circuit"
"36906","Thrombectomy or infusion, dialysis circuit"
"36907","Balloon angioplasty, central dialysis segment"
"36908","Stent placement, central dialysis segment"
"36909","Dialysis circuit embolization"
"3700F","Psychiatric disorders assessed"
"37140","Revision of circulation"
"37145","Revision of circulation"
"37160","Revision of circulation"
"37180","Revision of circulation"
"37181","Splicing of spleen and kidney veins"
"37182","Insertion of transjugular intrahepatic portosystemic shunt (TIPS)"
"37183","Revision of transjugular intrahepatic portosystemic shunt (TIPS)"
"37184","Primary arterial mechanical thrombectomy, first vessel"
"37185","Primary arterial mechanical thrombectomy, subsequent vessel"
"37186","Secondary arterial mechanical thrombectomy, add-on"
"37187","Venous mechanical thrombectomy"
"37188","Venous mechanical thrombectomy, repeat treatment"
"37191","Insertion of endovascular vena cava filter"
"37192","Repositioning of endovascular vena cava filter"
"37193","Removal of endovascular vena cava filter"
"37195","Thrombolytic therapy for stroke"
"37197","Removal of intravascular foreign body"
"37200","Transcatheter biopsy"
"3720F","Cognitive impairment assessed"
"37211","Thrombolytic arterial therapy"
"37212","Thrombolytic venous therapy"
"37213","Thrombolytic arterial and venous therapy"
"37214","Cessation of therapy and catheter removal"
"37215","Transcatheter stent, common carotid artery, with embolic protection system"
"37216","Transcatheter stent, common carotid artery, without embolic protection system"
"37217","Stent placement, retrograde, carotid"
"37218","Stent placement, antegrade, carotid"
"37236","Open or percutaneous placement of intravascular stent, first vessel"
"37237","Open or percutaneous placement of intravascular stent, each additional vessel"
"37238","Open or percutaneous placement of intravascular stent, venous, first vessel"
"37239","Open or percutaneous placement of intravascular stent, venous, each additional vessel"
"37241","Vascular embolization or occlusion, venous"
"37242","Vascular embolization or occlusion, arterial"
"37243","Vascular embolization or occlusion, organ"
"37244","Vascular embolization or occlusion, bleeding"
"37246","Transluminial balloon angioplasty, first artery"
"37247","Transluminial balloon angioplasty, each additional artery"
"37248","Transluminial balloon angioplasty, first vein"
"37249","Transluminial balloon angioplasty, each additional vein"
"37252","Intravascular ultrasound, noncoronary vessel, first vessel"
"37253","Intravascular ultrasound, noncoronary vessel, each additional vessel"
"37254","Endovascular revascularization, iliofemoral venous territory, angioplasty, superficial, first"
"37255","Endovascular revascularization, iliofemoral venous territory, angioplasty, superficial, each"
"37256","Endovascular revascularization, iliofemoral venous territory, angioplasty, complex, first"
"37257","Endovascular revascularization, iliofemoral venous territory, angioplasty, complex, each"
"37258","Endovascular revascularization, iliofemoral venous territory, stent, superficial, first"
"37259","Endovascular revascularization, iliofemoral venous territory, stent, superficial, each"
"3725F","Screening for depression performed"
"37260","Endovascular revascularization, iliofemoral venous territory, stent, complex, first"
"37261","Endovascular revascularization, iliofemoral venous territory, stent, complex, each"
"37262","Intravascular lithotripsy, iliofemoral venous territory, within same vessel"
"37263","Endovascular revascularization, femoropopliteal venous territory, angioplasty, superficial, first"
"37264","Endovascular revascularization, femoropopliteal venous territory, angioplasty, superficial, each"
"37265","Endovascular revascularization, femoropopliteal venous territory, angioplasty, complex, first"
"37266","Endovascular revascularization, femoropopliteal venous territory, angioplasty, complex, each"
"37267","Endovascular revascularization, femoropopliteal venous territory, stent, superficial, first"
"37268","Endovascular revascularization, femoropopliteal venous territory, stent, superficial, each"
"37269","Endovascular revascularization, femoropopliteal venous territory, stent, complex, first"
"37270","Endovascular revascularization, femoropopliteal venous territory, stent, complex, each"
"37271","Endovascular revascularization, femoropopliteal venous territory, atherectomy, superficial, first"
"37272","Endovascular revascularization, femoropopliteal venous territory, atherectomy, superficial, each"
"37273","Endovascular revascularization, femoropopliteal venous territory, atherectomy, complex, first"
"37274","Endovascular revascularization, femoropopliteal venous territory, atherectomy, complex, each"
"37275","Endovascular revascularization, femoropopliteal venous territory, stent and atherectomy, superficial, first"
"37276","Endovascular revascularization, femoropopliteal venous territory, stent and atherectomy, superficial, each"
"37277","Endovascular revascularization, femoropopliteal venous territory, stent and atherectomy, complex, first"
